printer_string,printer_shortname,notes,books_on_workbench,workbench_set,export_cdt,group_ID
"Cottrel, James",jcottrel,,,y,https://printprobdb.psc.edu/api/character_groupings/f1f7b303-5450-4b1c-90b2-0f49789a70b7/download/,f1f7b303-5450-4b1c-90b2-0f49789a70b7
"Creake, Thomas",tcreake,,,y,https://printprobdb.psc.edu/api/character_groupings/61eedaca-4b4e-4076-9cdb-384f9dc6dc7c/download/,61eedaca-4b4e-4076-9cdb-384f9dc6dc7c
"Croom, George",gcroom,,7.0,y,https://printprobdb.psc.edu/api/character_groupings/a2e8bb75-30ab-48c3-a0d7-ee2cd46bcc4c/download/,a2e8bb75-30ab-48c3-a0d7-ee2cd46bcc4c
"Crouch, Edward",ecrouch,,2.0,y,https://printprobdb.psc.edu/api/character_groupings/7ca15048-7310-4ac9-b8c4-28560a4ae0e6/download/,7ca15048-7310-4ac9-b8c4-28560a4ae0e6
"Daniel, Mary",mdaniel,,,y,https://printprobdb.psc.edu/api/character_groupings/ecc151ad-9e00-489a-8ff8-1b7d9084714c/download/,ecc151ad-9e00-489a-8ff8-1b7d9084714c
"Daniel, Roger",rdaniel,,6.0,y,https://printprobdb.psc.edu/api/character_groupings/fd193b55-b438-4d0b-8507-18425e88a345/download/,fd193b55-b438-4d0b-8507-18425e88a345
"Darby, John",jdarbyii,1699-1707,3.0,y,https://printprobdb.psc.edu/api/character_groupings/aad1f38b-938c-431a-91e6-cd0e1cdbc338/download/,aad1f38b-938c-431a-91e6-cd0e1cdbc338
"Darby, John",jdarby,darby,7.0,y,https://printprobdb.psc.edu/api/character_groupings/bb68eb6f-9e62-4326-bc2c-0cfbc9264c5f/download/,bb68eb6f-9e62-4326-bc2c-0cfbc9264c5f
"Davis, Walter",davis,"All ""printed/sold by"" on ESTC",1.0,y,https://printprobdb.psc.edu/api/character_groupings/7f7416bb-f94a-4602-80bb-a1f59bceb040/download/,7f7416bb-f94a-4602-80bb-a1f59bceb040
"Dawks, Ichabod",idawks,,3.0,y,https://printprobdb.psc.edu/api/character_groupings/56da2be1-3813-41e7-9ad0-c87371764236/download/,56da2be1-3813-41e7-9ad0-c87371764236
"Dawks, Thomas",tdawks,(All outside 241 date range on ESTC),2.0,y,https://printprobdb.psc.edu/api/character_groupings/ef3a3efb-5834-4b8a-9721-65bc29768b55/download/,ef3a3efb-5834-4b8a-9721-65bc29768b55
"Dawson, Gartrude",gdawson,,3.0,y,https://printprobdb.psc.edu/api/character_groupings/48473219-ec7d-4305-bc85-d407487f065f/download/,48473219-ec7d-4305-bc85-d407487f065f
"Dover, James",jdover,,,y,https://printprobdb.psc.edu/api/character_groupings/4305886e-5016-4caf-8b3e-99e505aa389d/download/,4305886e-5016-4caf-8b3e-99e505aa389d
"Dover, Joan",joandover,,3.0,y,https://printprobdb.psc.edu/api/character_groupings/c8e8d123-dc52-48f5-96f9-5f656d4c648b/download/,c8e8d123-dc52-48f5-96f9-5f656d4c648b
"Downing, William",wdowning,,4.0,y,https://printprobdb.psc.edu/api/character_groupings/868974f8-1cb5-429b-80dc-948d72cf1e70/download/,868974f8-1cb5-429b-80dc-948d72cf1e70
"Dugard, William",wdugard,,1.0,y,https://printprobdb.psc.edu/api/character_groupings/99c28cfb-e79a-45e7-b998-dc480275e067/download/,99c28cfb-e79a-45e7-b998-dc480275e067
"Edwards, David",edwards,,1.0,y,https://printprobdb.psc.edu/api/character_groupings/b94f487e-7068-44da-a78c-4a56f6e85bd8/download/,b94f487e-7068-44da-a78c-4a56f6e85bd8
"Eld, George",geld,,2.0,y,https://printprobdb.psc.edu/api/character_groupings/b81ecf69-4280-4186-9d3f-fa80260e11a1/download/,b81ecf69-4280-4186-9d3f-fa80260e11a1
"Everingham, Robert",everingham,,10.0,y,https://printprobdb.psc.edu/api/character_groupings/e822db51-ff8d-40db-a201-8f4b70bb522a/download/,e822db51-ff8d-40db-a201-8f4b70bb522a
"Field, John",field,,2.0,y,https://printprobdb.psc.edu/api/character_groupings/cf530521-9c2b-468e-a870-01648460780e/download/,cf530521-9c2b-468e-a870-01648460780e
"Flesher, Elizabeth",eflesher,,1.0,y,https://printprobdb.psc.edu/api/character_groupings/289e1850-8066-4584-b80f-7f3f8f6b2417/download/,289e1850-8066-4584-b80f-7f3f8f6b2417
"Flesher, James",jflesher,,1.0,y,https://printprobdb.psc.edu/api/character_groupings/20e8ae6c-4b01-43ed-a398-b6e78db94649/download/,20e8ae6c-4b01-43ed-a398-b6e78db94649
"Flesher, Miles",mfleshersr,pre-1665,2.0,y,https://printprobdb.psc.edu/api/character_groupings/8c46a663-a77a-400c-89e4-0d78314da4f3/download/,8c46a663-a77a-400c-89e4-0d78314da4f3
"Flesher, Miles, Jr.",mflesher,post-1678,2.0,y,,06b4a299-6d34-4072-ac9b-57ece93193a9
"Gain, John",jgaines,,10.0,y,https://printprobdb.psc.edu/api/character_groupings/ee5b4169-da28-4f0f-b2f3-6dcf8fc54ed9/download/,ee5b4169-da28-4f0f-b2f3-6dcf8fc54ed9
"Godbid, Ann",anngodbid,,,y,https://printprobdb.psc.edu/api/character_groupings/5f684f13-20f2-43be-b7a1-21469b6abfab/download/,5f684f13-20f2-43be-b7a1-21469b6abfab
"Godbid, Arther",arthergodbid,Prints with J. Playford. ,1.0,y,https://printprobdb.psc.edu/api/character_groupings/7149e3f2-c6fe-4fe7-b1d0-3a83d004b172/download/,7149e3f2-c6fe-4fe7-b1d0-3a83d004b172
"Godbid, William",wgodbid,,5.0,y,https://printprobdb.psc.edu/api/character_groupings/789fc0e9-0485-472f-b61b-d6301d588781/download/,789fc0e9-0485-472f-b61b-d6301d588781
"Golding, Edward",golding,1 on ESTC,1.0,y,https://printprobdb.psc.edu/api/character_groupings/5189e1b4-b734-4fb2-8fd8-b31b140f1fdf/download/,5189e1b4-b734-4fb2-8fd8-b31b140f1fdf
"Grantham, John",grantham,,1.0,y,https://printprobdb.psc.edu/api/character_groupings/9361d90a-b975-4ded-9ae1-7f92ba655752/download/,9361d90a-b975-4ded-9ae1-7f92ba655752
"Griffin, Bennet",bgriffin,,5.0,y,https://printprobdb.psc.edu/api/character_groupings/c68be83a-ab96-4e66-839b-3b1e95a80c66/download/,c68be83a-ab96-4e66-839b-3b1e95a80c66
"Griffin, Sarah",sgriffin,,4.0,y,https://printprobdb.psc.edu/api/character_groupings/f7454b65-366b-4301-a524-a43a3213dfea/download/,f7454b65-366b-4301-a524-a43a3213dfea
"Grismond, John",jgrismond,,3.0,y,https://printprobdb.psc.edu/api/character_groupings/c920ac1b-8867-4388-9d47-254a0369a76f/download/,c920ac1b-8867-4388-9d47-254a0369a76f
"Grover, Ann",agrover,,,y,https://printprobdb.psc.edu/api/character_groupings/c6c12f75-a775-4df2-aab3-b334a32cbc8e/download/,c6c12f75-a775-4df2-aab3-b334a32cbc8e
"Grover, James",jgrover,,3.0,y,https://printprobdb.psc.edu/api/character_groupings/6a21a976-995a-4883-befd-2686a0d7812b/download/,6a21a976-995a-4883-befd-2686a0d7812b
"Hales, Thomas",thales,(All outside 241 date range on ESTC),1.0,y,https://printprobdb.psc.edu/api/character_groupings/2653be7b-01db-4731-860f-1feafca2818d/download/,2653be7b-01db-4731-860f-1feafca2818d
"Harefinch, John",jharefinch,,,y,https://printprobdb.psc.edu/api/character_groupings/da94cc60-9f95-45b5-95fb-ff73bf9a670c/download/,da94cc60-9f95-45b5-95fb-ff73bf9a670c
"Harper, Thomas",tharper,,2.0,y,https://printprobdb.psc.edu/api/character_groupings/c9c56487-479b-4d79-852b-64f574c41dff/download/,c9c56487-479b-4d79-852b-64f574c41dff
"Harris, Benjamin",bharris,All ESTC texts outside of date range on 241 spreadsheet -- cross-check accurate date range,1.0,y,https://printprobdb.psc.edu/api/character_groupings/082cefc4-9b4d-40d3-afa3-ae71ff2db36d/download/,082cefc4-9b4d-40d3-afa3-ae71ff2db36d
"Hayes, John",jhayes,hayes,10.0,y,https://printprobdb.psc.edu/api/character_groupings/f273df8b-950a-41aa-a401-1741e45e6477/download/,f273df8b-950a-41aa-a401-1741e45e6477
"Hearne, Richard",hearne,,3.0,y,https://printprobdb.psc.edu/api/character_groupings/7f549696-036e-4619-a3e7-f22a07126905/download/,7f549696-036e-4619-a3e7-f22a07126905
"Heptinstall, John",jheptinstall,"""John Hepinstall"" in workbench",5.0,y,https://printprobdb.psc.edu/api/character_groupings/5a58dcd9-2a05-49a2-8393-8a137da70323/download/,5a58dcd9-2a05-49a2-8393-8a137da70323
"Hills, Henry, Jr.",hhillsjr,,4.0,y,https://printprobdb.psc.edu/api/character_groupings/2f1d500d-0439-4261-b3aa-5f323e5bc33b/download/,2f1d500d-0439-4261-b3aa-5f323e5bc33b
"Hills, Henry, Sr.",hhillssr,,6.0,y,https://printprobdb.psc.edu/api/character_groupings/09360a8c-bf6f-46a4-a3ff-4e72dfe8d847/download/,09360a8c-bf6f-46a4-a3ff-4e72dfe8d847
"Hodgkin, Thomas",thodgkin,"""Thomas Hodgkin"" on workbench",7.0,y,https://printprobdb.psc.edu/api/character_groupings/de560de3-94a1-4355-8e56-dfd945c6ecd5/download/,de560de3-94a1-4355-8e56-dfd945c6ecd5
"Hodgkinson, Richard",hodgkinson,rhodgkinson,3.0,y,https://printprobdb.psc.edu/api/character_groupings/7c6b013c-d32e-4bc4-9786-03fbc801e1bb/download/,7c6b013c-d32e-4bc4-9786-03fbc801e1bb
"Hoeve, Justam ab",hoeve,(Not on 241 list + no additional texts on ESTC),1.0,y,https://printprobdb.psc.edu/api/character_groupings/2f191bda-b58a-4f22-b973-dfa89a2bca45/download/,2f191bda-b58a-4f22-b973-dfa89a2bca45
"Holt, Elizabeth",eholt,,3.0,y,https://printprobdb.psc.edu/api/character_groupings/746eae92-7ea4-473a-8f00-ed39c58b58fd/download/,746eae92-7ea4-473a-8f00-ed39c58b58fd
"Holt, Ralph",rholt,,6.0,y,https://printprobdb.psc.edu/api/character_groupings/b07e00cf-809f-42c0-a172-19fefefc4fb4/download/,b07e00cf-809f-42c0-a172-19fefefc4fb4
"Horton, Edward",ehorton,,,y,https://printprobdb.psc.edu/api/character_groupings/db02164a-881d-4cda-8843-6819b2f17e1c/download/,db02164a-881d-4cda-8843-6819b2f17e1c
"Horton, William",whorton,,,y,https://printprobdb.psc.edu/api/character_groupings/590c99cc-667e-4e6d-9644-f6fdeddaab5d/download/,590c99cc-667e-4e6d-9644-f6fdeddaab5d
"How, John",johnhow,,,y,https://printprobdb.psc.edu/api/character_groupings/f06804a2-b816-4c2d-8d6d-36cda1a7d195/download/,f06804a2-b816-4c2d-8d6d-36cda1a7d195
"Howell, Nathaniel",nhowell,(Only one text on ESTC),1.0,y,https://printprobdb.psc.edu/api/character_groupings/2dd3653e-a0c5-4570-8b55-31cb02fdb2aa/download/,2dd3653e-a0c5-4570-8b55-31cb02fdb2aa
"Humphreys, John",humphreys,(Second book awaiting upload),1.0,y,https://printprobdb.psc.edu/api/character_groupings/4c4d0b53-e39c-4489-84da-7aa8889a549f/download/,4c4d0b53-e39c-4489-84da-7aa8889a549f
"Hunt, Ame",ahunt,,,y,https://printprobdb.psc.edu/api/character_groupings/f2a846d7-d2f9-4c5f-b666-6f563aa65a81/download/,f2a846d7-d2f9-4c5f-b666-6f563aa65a81
"Hunt, William",whunt,,1.0,y,https://printprobdb.psc.edu/api/character_groupings/cc66a611-30d4-4e55-a0b8-f6b16fa6b517/download/,cc66a611-30d4-4e55-a0b8-f6b16fa6b517
"Ibbitson, Robert",ribbitson,,3.0,y,https://printprobdb.psc.edu/api/character_groupings/6ab32210-d433-4467-8985-1d725dfc0856/download/,6ab32210-d433-4467-8985-1d725dfc0856
"Ilive, Thomas",ilive,,3.0,y,https://printprobdb.psc.edu/api/character_groupings/efab7a13-8ffd-4b9e-be9c-550994164dda/download/,efab7a13-8ffd-4b9e-be9c-550994164dda
"Inman, Matthew",minman,,,y,https://printprobdb.psc.edu/api/character_groupings/64a99383-8806-4ef8-a88f-6ad7a5a8a33b/download/,64a99383-8806-4ef8-a88f-6ad7a5a8a33b
"James, Thomas",tjames,,6.0,y,https://printprobdb.psc.edu/api/character_groupings/5a053451-3dd1-44a9-bb09-2fb936597ffd/download/,5a053451-3dd1-44a9-bb09-2fb936597ffd
"Johnson, Thomas",tjohnson,,2.0,y,https://printprobdb.psc.edu/api/character_groupings/9d07da75-f347-4555-8348-0129cf6723c6/download/,9d07da75-f347-4555-8348-0129cf6723c6
"Jones, Edward",ejones,,10.0,y,https://printprobdb.psc.edu/api/character_groupings/74d9cdbd-28f4-46ba-8a00-c96fa6566893/download/,74d9cdbd-28f4-46ba-8a00-c96fa6566893
"Larkin, George",glarkin,glarkini,10.0,y,https://printprobdb.psc.edu/api/character_groupings/dffabcec-dc8f-4c84-806a-f78dc6dcab77/download/,dffabcec-dc8f-4c84-806a-f78dc6dcab77
"Leach, Francis",fleachjr,,5.0,y,https://printprobdb.psc.edu/api/character_groupings/acccd4eb-cbaf-4054-9d4a-9d7b1b702436/download/,acccd4eb-cbaf-4054-9d4a-9d7b1b702436
"Leach, Thomas",tleach,leach,5.0,y,https://printprobdb.psc.edu/api/character_groupings/d1e89ee9-01e6-48aa-bc5d-ac7e9a49f18a/download/,d1e89ee9-01e6-48aa-bc5d-ac7e9a49f18a
"Leake, John",jleake,,9.0,y,https://printprobdb.psc.edu/api/character_groupings/cd104c6d-dfa6-4e37-a7c4-e8d1e403d37c/download/,cd104c6d-dfa6-4e37-a7c4-e8d1e403d37c
"Leybourne, William",wleybourne,one set for W and R Leybourne on workbench,1.0,y,https://printprobdb.psc.edu/api/character_groupings/acf82061-14cb-4a4c-b55b-ff2082296a9c/download/,acf82061-14cb-4a4c-b55b-ff2082296a9c
"Lilliecrap, Peter",plillicrap,,3.0,y,https://printprobdb.psc.edu/api/character_groupings/98a2bbf4-91f4-4de1-bc32-6a46080f8442/download/,98a2bbf4-91f4-4de1-bc32-6a46080f8442
"Lloyd, Henry",hlloyd,,,y,https://printprobdb.psc.edu/api/character_groupings/30b37f16-bc33-4dc4-86bf-7cc1350be744/download/,30b37f16-bc33-4dc4-86bf-7cc1350be744
"Lock, John",jlock,,,y,https://printprobdb.psc.edu/api/character_groupings/ded2271f-4df0-47c1-8c75-c5c009d808ab/download/,ded2271f-4df0-47c1-8c75-c5c009d808ab
"Lock, Thomas",tlock,,,y,https://printprobdb.psc.edu/api/character_groupings/22364781-8679-4d0a-bce1-c3fb3c6b23a0/download/,22364781-8679-4d0a-bce1-c3fb3c6b23a0
"Mabb, Thomas",tmabb,,7.0,y,https://printprobdb.psc.edu/api/character_groupings/0d22a678-7b81-498a-9c5f-0d22f1cd0f06/download/,0d22a678-7b81-498a-9c5f-0d22f1cd0f06
"Macock, John",macock,,8.0,y,https://printprobdb.psc.edu/api/character_groupings/c075de77-e585-4bc1-8c52-0a7ee3290ce3/download/,c075de77-e585-4bc1-8c52-0a7ee3290ce3
"Mallet, David",dmallet,,1.0,y,https://printprobdb.psc.edu/api/character_groupings/f687f5de-eff4-4ab5-8a74-890fdbef99c6/download/,f687f5de-eff4-4ab5-8a74-890fdbef99c6
"Mallet, Elizabeth",emallet,,,y,https://printprobdb.psc.edu/api/character_groupings/2196e840-4a3c-4d3c-96ec-7e192ad6ac71/download/,2196e840-4a3c-4d3c-96ec-7e192ad6ac71
"Martyn, John",jmartyn,,3.0,y,https://printprobdb.psc.edu/api/character_groupings/640d52b4-f36e-45fd-8c57-14ad4074bf96/download/,640d52b4-f36e-45fd-8c57-14ad4074bf96
"Mason, Edward",edmason,,,y,https://printprobdb.psc.edu/api/character_groupings/7708f7e9-5eb1-463d-9fc7-24d3bf36856b/download/,7708f7e9-5eb1-463d-9fc7-24d3bf36856b
"Mathewes, Augustine",augmathewes,,4.0,y,https://printprobdb.psc.edu/api/character_groupings/4cfa1214-6975-4cf0-9eca-de882bf30375/download/,4cfa1214-6975-4cf0-9eca-de882bf30375
"Matthews, John",jmatthews,,6.0,y,https://printprobdb.psc.edu/api/character_groupings/c29845ec-9ca9-41cb-8bbd-2f16911195e7/download/,c29845ec-9ca9-41cb-8bbd-2f16911195e7
"Maxey, Anne",maxey,,1.0,y,https://printprobdb.psc.edu/api/character_groupings/3a72c1e4-a104-4563-b0b6-43d20966086c/download/,3a72c1e4-a104-4563-b0b6-43d20966086c
"Maxwell, Anne",amaxwell,,8.0,y,https://printprobdb.psc.edu/api/character_groupings/0bbfbb03-56e9-4e09-923d-513deb2889d4/download/,0bbfbb03-56e9-4e09-923d-513deb2889d4
"Maxwell, David",dmaxwell,,2.0,y,https://printprobdb.psc.edu/api/character_groupings/b97cf614-3c17-4093-b732-80d4ec73c0fd/download/,b97cf614-3c17-4093-b732-80d4ec73c0fd
"Mayos, John",jmayo,,,y,https://printprobdb.psc.edu/api/character_groupings/f6214ee1-4869-4b1d-9d7f-c51b9d8e120f/download/,f6214ee1-4869-4b1d-9d7f-c51b9d8e120f
"Milbourn, Alexander",amilbourn,,,y,https://printprobdb.psc.edu/api/character_groupings/2d98714b-4b98-486b-8e86-2b4ee3133977/download/,2d98714b-4b98-486b-8e86-2b4ee3133977
"Milbourn, Thomas",tmilbourn,arrested 1686,5.0,y,https://printprobdb.psc.edu/api/character_groupings/ac3914dd-061c-4b44-a280-96bd3704197c/download/,ac3914dd-061c-4b44-a280-96bd3704197c
"Miles, Elizabeth",emiles,(No additional texts located on ESTC),1.0,y,https://printprobdb.psc.edu/api/character_groupings/2fcdf66b-e0ac-4988-a17d-62f0f80226bf/download/,2fcdf66b-e0ac-4988-a17d-62f0f80226bf
"Miller, Abraham",abemiller,,4.0,y,https://printprobdb.psc.edu/api/character_groupings/2f3c2e49-09ca-432b-a865-3f75ea8d26c1/download/,2f3c2e49-09ca-432b-a865-3f75ea8d26c1
"Miller, George",gmiller,,,y,https://printprobdb.psc.edu/api/character_groupings/a4506771-4669-4fab-9dec-3a17015ed87b/download/,a4506771-4669-4fab-9dec-3a17015ed87b
"Millet, John",jmillet,,2.0,y,https://printprobdb.psc.edu/api/character_groupings/6f9d13a0-fedb-44af-9a6e-7c6a22ff88eb/download/,6f9d13a0-fedb-44af-9a6e-7c6a22ff88eb
"Morgan, John",jmorgan,,,y,https://printprobdb.psc.edu/api/character_groupings/d8fc5ee5-9259-4e59-9900-99df98542c2d/download/,d8fc5ee5-9259-4e59-9900-99df98542c2d
"Motte, Benjamin",benmottei,1691 book is Motte I; 1719 book is Motte II ,2.0,y,https://printprobdb.psc.edu/api/character_groupings/4983afda-e4e8-40e0-b645-c78198990116/download/,4983afda-e4e8-40e0-b645-c78198990116
"Moxon, James",jmoxon,jomoxon,1.0,y,https://printprobdb.psc.edu/api/character_groupings/2ad3d974-e511-4f41-bf61-d86b657e668e/download/,2ad3d974-e511-4f41-bf61-d86b657e668e
"Moxon, Joseph",josephmoxon,,4.0,y,https://printprobdb.psc.edu/api/character_groupings/75581a6c-c7ee-42d8-bfdf-31febe5e0b7d/download/,75581a6c-c7ee-42d8-bfdf-31febe5e0b7d
"Newcomb, Thomas",newcomb,,5.0,y,https://printprobdb.psc.edu/api/character_groupings/e1cebc86-6ccd-4109-9b42-3f829b3bd0e8/download/,e1cebc86-6ccd-4109-9b42-3f829b3bd0e8
"Newcomb, Thomas, Jr.",newcombjr,,4.0,y,https://printprobdb.psc.edu/api/character_groupings/ab4602de-98d8-43eb-898f-505fe5900232/download/,ab4602de-98d8-43eb-898f-505fe5900232
"Norton, Roger",norton,,8.0,y,https://printprobdb.psc.edu/api/character_groupings/aa9a837e-1b0f-4670-a78d-53a6a22f11c5/download/,aa9a837e-1b0f-4670-a78d-53a6a22f11c5
"Nutt, John",jnutt,,,y,https://printprobdb.psc.edu/api/character_groupings/78b73e94-6814-4d93-aabc-3dbeb033a6ae/download/,78b73e94-6814-4d93-aabc-3dbeb033a6ae
"Okes, Edward",eokes,,,y,https://printprobdb.psc.edu/api/character_groupings/3dfa3b6e-fc22-4d9b-b16c-636882ce4b78/download/,3dfa3b6e-fc22-4d9b-b16c-636882ce4b78
"Okes, John",jokes,,1.0,y,https://printprobdb.psc.edu/api/character_groupings/53ddd0e3-b5b2-4094-aa10-83a94b892d36/download/,53ddd0e3-b5b2-4094-aa10-83a94b892d36
"Onley, William",wonley,,1.0,y,https://printprobdb.psc.edu/api/character_groupings/5fca95ee-7d01-4d2c-a0a6-feb1872de582/download/,5fca95ee-7d01-4d2c-a0a6-feb1872de582
"Orme, James",jorme,,2.0,y,https://printprobdb.psc.edu/api/character_groupings/03f1d7e7-d032-404a-9900-5f2a6724e6be/download/,03f1d7e7-d032-404a-9900-5f2a6724e6be
"Oulton, Richard",roulton,,,y,https://printprobdb.psc.edu/api/character_groupings/a10f5530-7b6b-4805-9587-9db2e62880f0/download/,a10f5530-7b6b-4805-9587-9db2e62880f0
"Parry, Leonard",lparry,,,y,https://printprobdb.psc.edu/api/character_groupings/c1ae51d7-280b-4130-90d5-45d849aa29c9/download/,c1ae51d7-280b-4130-90d5-45d849aa29c9
"Playford, John",jplayfordii,,5.0,y,https://printprobdb.psc.edu/api/character_groupings/ce59bc43-6cca-44e0-9b5a-61a311c6be0d/download/,ce59bc43-6cca-44e0-9b5a-61a311c6be0d
"Ratcliffe, Thomas",tratcliffe,ratcliffe,10.0,y,https://printprobdb.psc.edu/api/character_groupings/7fbfafa4-7ec6-4162-b136-7dbcc3862908/download/,7fbfafa4-7ec6-4162-b136-7dbcc3862908
